Heures;mois;t;jour_semaine;jour_mois;Consommation
21;2;1.2857142857143073;0;2;78781.0
0;2;0.4833333333333566;1;3;76704.0
3;2;-0.1261904761904575;1;3;69852.0
6;2;-0.2380952380952151;1;3;72386.0
9;2;0.6268292682927007;1;3;84744.0
12;2;2.7560975609756375;1;3;84767.0
15;2;3.230952380952409;1;3;79929.0
18;2;1.654761904761929;1;3;82049.0
21;2;0.945238095238118;1;3;80648.0
0;2;0.25714285714288176;2;4;78015.0
3;2;0.0857142857143052;2;4;72153.0
6;2;-0.038095238095212924;2;4;74067.0
9;2;1.230952380952405;2;4;86700.0
12;2;3.259523809523832;2;4;86851.0
15;2;3.4714285714285946;2;4;82120.0
18;2;2.4400000000000217;2;4;83634.0
21;2;1.9100000000000221;2;4;82017.0
0;2;1.231707317073193;3;5;79533.0
3;2;0.9609756097561192;3;5;73910.0
6;2;0.5658536585366073;3;5;75497.0
9;2;1.2365853658536832;3;5;86974.0
12;2;2.8926829268292926;3;5;87048.0
15;2;3.051219512195142;3;5;82929.0
18;2;1.3536585365853908;3;5;85237.0
21;2;0.5341463414634363;3;5;83645.0
0;2;0.0951219512195352;4;6;81383.0
3;2;-0.13414634146339244;4;6;75970.0
6;2;-0.3658536585365632;4;6;77691.0
9;2;0.2707317073170931;4;6;91008.0
12;2;1.4761904761904978;4;6;91583.0
15;2;2.3119047619047857;4;6;85880.0
18;2;1.3833333333333555;4;6;86372.0
21;2;0.8428571428571681;4;6;84934.0
0;2;0.27380952380954815;5;7;82982.0
3;2;-0.2452380952380725;5;7;74650.0
6;2;-0.4023809523809315;5;7;72590.0
9;2;0.9142857142857381;5;7;80064.0
12;2;4.080952380952407;5;7;80214.0
15;2;5.054761904761925;5;7;72956.0
18;2;2.942857142857168;5;7;73881.0
21;2;1.6023809523809756;5;7;76333.0
0;2;1.0071428571428764;6;8;77218.0
3;2;1.014285714285731;6;8;69719.0
6;2;1.1571428571428792;6;8;65506.0
9;2;2.9261904761905;6;8;69506.0
12;2;5.835714285714308;6;8;73700.0
15;2;6.2365853658536805;6;8;67011.0
18;2;4.300000000000022;6;8;67944.0
21;2;2.7547619047619287;6;8;74340.0
0;2;1.4785714285714509;0;9;74538.0
3;2;0.3285714285714532;0;9;69387.0
6;2;-0.2952380952380785;0;9;72465.0
9;2;2.5452380952381217;0;9;83824.0
12;2;6.409523809523835;0;9;81663.0
15;2;7.663414634146362;0;9;75703.0
18;2;4.28809523809526;0;9;75772.0
21;2;2.6404761904762144;0;9;76856.0
0;2;1.70714285714288;1;10;75192.0
3;2;0.9547619047619269;1;10;70128.0
6;2;0.7761904761904984;1;10;71762.0
9;2;3.2047619047619227;1;10;82620.0
12;2;6.728571428571451;1;10;82024.0
15;2;8.021428571428592;1;10;75501.0
18;2;4.957142857142882;1;10;75608.0
21;2;2.9071428571428806;1;10;76335.0
0;2;1.6880952380952592;2;11;74702.0
3;2;0.614285714285739;2;11;70050.0
6;2;0.02380952380954817;2;11;72021.0
9;2;3.178571428571454;2;11;82946.0
12;2;8.233333333333356;2;11;79450.0
