Date;Heures;Consommation;t
2017-03-15;9;63905.0;10.890476190476212
2017-03-15;12;62652.0;14.059523809523828
2017-03-15;15;57231.0;15.466666666666688
2017-03-15;18;54783.0;12.78571428571431
2017-03-15;21;58658.0;9.53571428571431
2017-03-16;0;58124.0;7.478571428571451
2017-03-16;3;50835.0;6.02857142857145
2017-03-16;6;54158.0;4.883333333333356
2017-03-16;9;63788.0;11.342857142857165
2017-03-16;12;59854.0;16.883333333333354
2017-03-16;15;54664.0;18.56190476190479
2017-03-16;18;52044.0;14.89523809523812
2017-03-16;21;56120.0;10.145238095238115
2017-03-17;0;55495.0;8.421428571428594
2017-03-17;3;48101.0;7.540476190476217
2017-03-17;6;50954.0;7.071428571428596
2017-03-17;9;61400.0;11.265853658536606
2017-03-17;12;60366.0;14.752380952380971
2017-03-17;15;55537.0;14.978571428571447
2017-03-17;18;53576.0;11.721428571428595
2017-03-17;21;56930.0;9.485714285714309
2017-03-18;0;56818.0;8.736585365853681
2017-03-18;3;47922.0;8.611904761904782
2017-03-18;6;46624.0;8.607142857142879
2017-03-18;9;53555.0;10.526190476190498
2017-03-18;12;56997.0;12.102380952380972
2017-03-18;15;52279.0;12.945238095238123
2017-03-18;18;51024.0;11.773809523809549
2017-03-18;21;53834.0;10.669047619047644
2017-03-19;0;54885.0;10.140476190476212
2017-03-19;3;46140.0;9.371428571428597
2017-03-19;6;43324.0;8.956097560975628
2017-03-19;9;47385.0;11.719047619047645
2017-03-19;12;52232.0;13.997619047619072
2017-03-19;15;46986.0;14.640476190476214
2017-03-19;18;46551.0;12.930952380952403
2017-03-19;21;52963.0;11.161904761904784
2017-03-20;0;53268.0;10.490243902439044
2017-03-20;3;45858.0;10.051219512195145
2017-03-20;6;48941.0;9.729268292682951
2017-03-20;9;60699.0;11.609523809523829
2017-03-20;12;61725.0;13.280952380952401
2017-03-20;15;58531.0;13.788095238095263
2017-03-20;18;57334.0;12.109523809523829
2017-03-20;21;58555.0;10.788095238095256
2017-03-21;0;57403.0;10.035714285714302
2017-03-21;3;48724.0;9.304761904761929
2017-03-21;6;51285.0;8.695238095238112
2017-03-21;9;62551.0;10.502380952380975
2017-03-21;12;63280.0;11.854761904761926
2017-03-21;15;59144.0;11.542857142857168
2017-03-21;18;58061.0;9.319047619047641
2017-03-21;21;60822.0;7.3095238095238315
2017-03-22;0;60183.0;6.178571428571453
2017-03-22;3;52316.0;5.602380952380974
2017-03-22;6;55499.0;5.2642857142857356
2017-03-22;9;65803.0;8.65853658536588
2017-03-22;12;64707.0;11.150000000000023
2017-03-22;15;60692.0;11.44761904761907
2017-03-22;18;59974.0;9.473809523809548
2017-03-22;21;61716.0;7.480952380952404
2017-03-23;0;60368.0;6.857142857142876
2017-03-23;3;53021.0;6.371428571428592
2017-03-23;6;55194.0;6.228571428571449
2017-03-23;9;65447.0;8.96666666666669
2017-03-23;12;65619.0;11.16904761904764
2017-03-23;15;61482.0;11.433333333333353
2017-03-23;18;60619.0;9.659523809523833
2017-03-23;21;62270.0;8.054761904761925
2017-03-24;0;60983.0;6.9119047619047835
2017-03-24;3;53326.0;6.164285714285735
2017-03-24;6;55998.0;5.976190476190505
2017-03-24;9;67041.0;8.809523809523828
2017-03-24;12;65851.0;11.533333333333356
2017-03-24;15;60814.0;12.069047619047643
2017-03-24;18;59353.0;10.883333333333358
2017-03-24;21;60362.0;9.885714285714311
2017-03-25;0;59272.0;9.161904761904783
2017-03-25;3;50632.0;8.733333333333354
2017-03-25;6;49483.0;8.533333333333355
2017-03-25;9;55511.0;10.483333333333357
2017-03-25;12;56548.0;12.830952380952407
2017-03-25;15;51180.0;13.709523809523835
2017-03-25;18;49401.0;11.633333333333354
2017-03-25;21;54273.0;9.107142857142886
2017-03-26;0;56248.0;7.659523809523832
2017-03-26;3;50720.0;6.4428571428571635
2017-03-26;6;45792.0;5.685714285714309
2017-03-26;9;49107.0;11.097619047619073
2017-03-26;12;51950.0;14.785714285714304
2017-03-26;15;45872.0;15.978571428571453
2017-03-26;18;42787.0;13.654761904761923
2017-03-26;21;52224.0;9.752380952380971
2017-03-27;0;53181.0;8.216666666666688
2017-03-27;3;46608.0;6.885714285714308
2017-03-27;6;49915.0;6.502380952380977
2017-03-27;9;61775.0;12.997619047619072
2017-03-27;12;59315.0;16.3809523809524
2017-03-27;15;54532.0;17.187804878048805
2017-03-27;18;50690.0;14.307317073170758
2017-03-27;21;55043.0;10.404878048780509
2017-03-28;0;54777.0;8.51219512195124
2017-03-28;3;47196.0;7.531707317073197
2017-03-28;6;49227.0;7.187804878048804
2017-03-28;9;60795.0;13.612195121951245
2017-03-28;12;58601.0;16.814634146341486
2017-03-28;15;54294.0;17.50243902439027
2017-03-28;18;51271.0;14.742857142857165
2017-03-28;21;54814.0;10.942857142857166
2017-03-29;0;54104.0;9.076190476190499
2017-03-29;3;46117.0;7.9761904761905
2017-03-29;6;48700.0;7.759523809523834
2017-03-29;9;59953.0;14.654761904761932
2017-03-29;12;58345.0;18.504761904761928
2017-03-29;15;53609.0;19.64761904761907
2017-03-29;18;49938.0;16.70952380952383
2017-03-29;21;53551.0;12.480952380952406
2017-03-30;0;52861.0;10.619512195121976
2017-03-30;3;44950.0;8.995238095238117
2017-03-30;6;47154.0;8.414634146341486
